bangumi_id,year,title,old_type,new_type,bangumi_platform,has_tv_relation,classification_reason,bangumi_tags,vote_count,score_visible
449001,1979,胡桃夹子幻想,movie,movie,3,no,同时含剧场版与电影标签但无 TV 系列关系，归入动画电影,剧场版,5,no
265347,1979,太空西游记 剧场版,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,5,no
311681,1979,阿尔卑斯山的少女海蒂 剧场版,other,other,3,no,标题或番组计划普通标签标记为总集篇，按统一规则归入其他,剧场版,18,no
84042,1979,龙子太郎,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,43,yes
527817,1979,小飞龙 剧场版,tv,tv,3,no,番组计划用户标签标注为 TV,,6,no
84098,1979,小白熊,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,4,no
23307,1979,银河铁道999 剧场版,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,科幻 / 剧场版 / 漫画改,444,yes
47667,1979,未来少年柯南 剧场版,other,other,3,no,标题或番组计划普通标签标记为总集篇，按统一规则归入其他,剧场版 / 冒险 / 小说改,18,no
75855,1979,网球甜心 剧场版,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版 / 漫画改,310,yes
109272,1979,野球狂之诗 北之狼南之虎,theatrical,theatrical,3,yes,同时含剧场版与电影标签，且与 TV 系列存在关联，归入剧场版,剧场版,6,no
414719,1979,,tv,tv,3,no,番组计划用户标签标注为 TV,剧场版,1,no
314,1979,鲁邦三世 卡里奥斯特罗之城,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,喜剧 / 剧场版 / 漫画改 / 冒险 / 剧情,1545,yes
432861,1980,被遗忘的人偶,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
432860,1980,请安静,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,2,no
311840,1980,速度,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
67754,1980,明日之丈 剧场版,other,other,3,yes,标题或番组计划普通标签标记为总集篇，按统一规则归入其他,剧场版 / 漫画改,122,yes
188232,1980,世界名作童话 十二个月,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,6,no
284189,1980,咪咪流浪记 剧场版,other,other,3,no,标题或番组计划普通标签标记为总集篇，按统一规则归入其他,剧场版,10,no
425,1980,哆啦A梦：大雄的恐龙,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,科幻 / 喜剧 / 剧场版 / 漫画改 / 子供向,1014,yes
40536,1980,火之鸟2772 爱的宇宙空间,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,62,yes
114192,1980,花仙子 你好！樱花盛开的国度,movie,movie,3,yes,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,剧场版,16,no
127777,1980,银河铁道999 玻璃克莱尔,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,29,no
425949,1980,铁臂阿童木 地球防卫队,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
38646,1980,奔向地球,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版 / 漫画改,110,yes
311800,1980,,movie,movie,3,no,同时含剧场版与电影标签但无 TV 系列关系，归入动画电影,剧场版,2,no
500313,1980,,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
211092,1980,鬼太郎 地相眼,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,4,no
