year,bangumi_id,title,type,bangumi_platform,theatrical_status,theatrical_release_dates,other_country_release_dates,home_video_release_dates,runtime,runtime_minutes,classification_reason,metadata_needs_review
1992,90478,铁之处女JUN,ova,OVA,not_listed,,,1992-07-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,79985,放学后的小仙女,ova,OVA,not_listed,,,1992年7月22日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,4442,大铁人 地球静止之日,ova,OVA,not_listed,,,1992年7月23日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,195915,正气大侠 怪兽大决战,ova,OVA,not_listed,,,1992年7月23日,40分,40,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,86446,鸦天狗卡布都 黄金之眼的野兽,ova,OVA,not_listed,,,1992-07-24,45分,45,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,5425,绝爱,ova,OVA,not_listed,,,1992年7月29日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,22509,乱马1/2 决战桃幻乡！夺回新娘子！,movie,Movie,confirmed,1992年8月1日,,,60分,60,番组计划平台为 Movie，标题未标为剧场版,no
1992,68572,以柔克刚 剧场版,theatrical,Movie,confirmed,1992年8月1日,,,60分终,60,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1992,77606,公主军团,ova,OVA,not_listed,,,1992年8月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,2909,间之楔,ova,OVA,not_listed,,,1992年8月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,95826,擂台恋曲,ova,OVA,not_listed,,,1992-08-05,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,435565,高智能方程式：Gravity,ova,OVA,not_listed,,,1992年8月5日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,114309,托托伊,movie,Movie,confirmed,1992年8月22日,,,83分钟,83,番组计划平台为 Movie，标题未标为剧场版,no
1992,404506,俏皮小花仙 菲尼克斯的钥匙,movie,Movie,confirmed,1992年8月8日,,,40分钟,40,番组计划平台为 Movie，标题未标为剧场版,no
1992,171034,姆明一族 姆明谷的彗星,movie,Movie,confirmed,1992年8月8日,,,62分钟,62,番组计划平台为 Movie，标题未标为剧场版,no
1992,161771,变色龙,ova,OVA,not_listed,,,1992年8月15日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,315442,凯蒂猫 毕竟妈妈爱我,ova,OVA,not_listed,,,1992-08-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,78046,野蛮女,ova,OVA,not_listed,,,1992年8月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
